#{"t_start": 1700903625.3199344, "env_id": "None"}
r,l,t
-13970.0,73,7.784439
-12252.0,73,12.549048
-12073.0,75,19.46284
-12072.0,73,26.40806
-7137.0,70,33.737336
-24148.0,71,40.61166
-15008.0,69,46.454077
-12752.0,72,52.367676
-22557.0,73,59.720161
-8100.0,73,67.834372
-8311.0,75,74.731295
-10766.0,75,83.726011
-18859.0,71,90.070103
-16050.0,75,97.137167
-13176.0,71,104.001382
-11665.0,73,111.942575
-12674.0,74,120.300752
-9346.0,71,128.140736
-5342.0,71,135.962182
-9832.0,71,142.920944
-9643.0,74,151.266685
-7007.0,72,158.248056
-8518.0,71,166.11249
-7869.0,73,173.975827
-7978.0,71,182.2139
-4779.0,70,187.980861
-6417.0,71,194.750686
-5555.0,71,201.478771
-7229.0,70,207.197359
-3997.0,70,215.320723
-6077.0,73,223.194939
-7828.0,69,231.155244
-5633.0,74,237.977403
-5238.0,72,245.077154
-5786.0,71,252.824787
-4537.0,71,258.458099
-6008.0,73,265.261837
-4603.0,72,273.389326
-6531.0,69,279.03133
-6169.0,75,286.844994
-4788.0,69,294.599678
-4309.0,72,302.732819
-4460.0,72,310.462994
-3553.0,72,318.242416
-4838.0,71,325.997268
-5629.0,71,333.021143
-3966.0,71,339.745164
-4251.0,71,347.505938
-3675.0,72,354.190182
-4754.0,71,361.927763
-3916.0,70,370.021483
-3498.0,73,377.789769
-4484.0,69,385.465116
-3907.0,73,393.223877
-3878.0,71,401.235344
-4202.0,71,408.957757
-3832.0,68,416.647868
-3602.0,71,423.318462
-3969.0,71,430.349381
-2907.0,73,438.070933
-3556.0,69,445.717618
-3107.0,73,453.449289
-2714.0,69,460.436709
-3449.0,72,466.073963
-3687.0,70,473.755818
-4274.0,69,481.407489
-3383.0,71,489.105936
-3129.0,70,497.181516
-3783.0,72,504.878488
-3506.0,71,512.58869
-4410.0,73,520.382379
-3152.0,71,528.463637
-3667.0,72,536.190597
-3389.0,68,543.861465
-3478.0,72,550.562518
-3137.0,72,557.633618
-3741.0,70,564.259891
-3445.0,68,570.893771
-2965.0,71,578.601979
-3016.0,68,586.693231
-2976.0,71,594.434855
-3998.0,70,602.133915
-3528.0,70,608.790606
-4171.0,71,616.491762
-3330.0,71,625.57357
-3135.0,71,633.253699
-3181.0,72,640.998437
-3176.0,69,648.713713
-3362.0,71,655.763671
-3365.0,69,663.443728
-3344.0,69,670.060495
-3639.0,69,676.701086
-3450.0,70,683.706604
-3426.0,69,691.350436
-3326.0,71,697.0133
-3349.0,71,704.742074
-2950.0,71,712.778309
-3584.0,71,720.519277
-2955.0,69,728.127339
-3054.0,69,735.834079
-3165.0,68,743.501402
-2922.0,72,751.574283
-2769.0,69,759.238945
-3066.0,71,766.902846
-3409.0,72,774.619118
-3122.0,69,782.629448
-3209.0,69,790.266744
-3016.0,68,795.801769
-3249.0,68,802.438079
-3070.0,69,810.472513
-3170.0,71,818.129548
-3070.0,69,825.806623
-2737.0,69,833.472994
-3398.0,67,840.060732
-2963.0,72,848.1517
-2637.0,69,854.759519
-2873.0,70,862.431532
-2794.0,69,870.058401
-3332.0,69,878.128211
-2926.0,67,884.71966
-3030.0,68,891.317795
-2526.0,69,898.946593
-3142.0,69,906.983644
-3316.0,68,914.621268
-2865.0,69,922.257619
-2737.0,71,929.931215
-3049.0,73,937.668714
-2660.0,71,945.757223
-2892.0,69,953.417742
-3141.0,72,959.046928
-3098.0,71,966.821453
-2849.0,70,974.870363
