#{"t_start": 1701149235.4547384, "env_id": "None"}
r,l,t
-96773.0,71,10.031578
-91381.0,69,17.436668
-47565.0,66,24.619053
-89455.0,68,31.821335
-44317.0,72,43.076687
-44842.0,69,48.967259
-66716.0,66,56.407696
-49793.0,66,64.379276
-61385.0,73,75.12978
-37845.0,65,81.925148
-52401.0,70,91.099053
-106050.0,69,99.177864
-36575.0,70,108.418203
-24413.0,68,116.698551
-26671.0,69,125.801039
-31674.0,74,136.066102
-50254.0,69,143.886697
-31016.0,67,151.915404
-21624.0,69,160.67509
-26468.0,72,170.624079
-26390.0,69,179.392256
-32930.0,68,187.74609
-21305.0,74,195.64499
-25667.0,67,202.11828
-37795.0,69,210.876112
-28592.0,67,219.60462
-24489.0,68,227.800114
-66270.0,71,237.434346
-25242.0,68,245.008838
-20861.0,67,253.758897
-29421.0,71,261.815802
-18086.0,68,269.492567
-32464.0,68,278.002129
-51437.0,72,284.454566
-31571.0,66,293.193928
-23401.0,68,301.786628
-20539.0,71,310.306885
-23759.0,67,317.803073
-46308.0,75,328.745237
-25411.0,67,337.943239
-17834.0,70,345.438776
-48138.0,68,352.949046
-33983.0,69,359.407999
-22003.0,66,367.146045
-25270.0,68,375.533357
-36356.0,71,383.915279
-29774.0,68,392.309232
-25024.0,68,401.171517
-32282.0,68,408.751224
-34076.0,70,417.356493
-23750.0,66,424.94997
-26949.0,69,433.549513
-24633.0,65,441.354343
-22349.0,70,450.076085
-30186.0,66,458.562174
-16260.0,68,467.088987
-19242.0,68,474.959754
-19588.0,68,481.423779
-27740.0,69,488.967532
-21997.0,68,496.520517
-17724.0,69,504.042424
-17598.0,69,511.818727
-22853.0,69,519.340686
-24824.0,68,527.865993
-21584.0,69,536.594672
-18295.0,69,546.489845
-29366.0,66,552.889798
-16363.0,67,560.309568
-19269.0,69,567.69547
-21247.0,68,575.505871
-17949.0,68,582.823283
-16745.0,70,591.120545
-20130.0,68,597.520663
-16755.0,69,604.937355
-18303.0,69,614.824481
-14480.0,68,622.236959
-19840.0,69,629.625472
-15395.0,68,636.937485
-19206.0,68,644.724182
-20155.0,71,653.118627
-20622.0,66,660.441143
-14969.0,70,669.02586
-23669.0,69,677.951969
-16537.0,68,686.284368
-18529.0,66,693.48109
-22483.0,68,701.84744
-26823.0,66,710.141914
-11839.0,69,718.842582
-15266.0,68,727.199803
-13565.0,69,735.522885
-21953.0,68,742.931449
-17241.0,66,749.604236
-18982.0,70,756.981557
-15350.0,69,765.358194
-21812.0,70,773.748977
-15960.0,69,781.140747
-16743.0,67,789.923147
-20187.0,67,798.224296
-19406.0,68,806.619353
-16001.0,68,813.946433
-15374.0,67,822.70171
-17813.0,66,831.145072
-18198.0,68,839.549365
-18158.0,66,847.981194
-17157.0,66,856.44336
-17134.0,66,865.269417
-15434.0,65,873.624667
-13541.0,69,880.962775
-14502.0,67,887.327942
-15253.0,66,895.074808
-13962.0,67,903.450371
-16791.0,67,911.965554
-15630.0,67,919.223608
-13883.0,66,927.504088
-14960.0,66,936.339642
-16296.0,66,943.691493
-15665.0,66,952.194207
-17885.0,68,959.633557
-12263.0,66,968.368227
-17812.0,67,976.962131
-16296.0,66,985.341219
-13275.0,70,992.683139
-15879.0,66,1001.08582
-15705.0,66,1009.861932
-14918.0,66,1018.150675
-11858.0,67,1026.606201
-10509.0,67,1034.944957
-14248.0,66,1043.758145
-10702.0,68,1052.108735
-14994.0,66,1060.525556
-15548.0,67,1068.960117
-15774.0,66,1077.293882
-11607.0,68,1084.082964
-10772.0,69,1091.304352
-12803.0,69,1098.578851
