#{"t_start": 1701149235.7202384, "env_id": "None"}
r,l,t
-96560.0,69,7.608109
-39515.0,72,18.229793
-104977.0,71,27.655096
-50884.0,67,34.818954
-98717.0,70,43.961591
-64489.0,71,50.89924
-246698.0,71,60.623078
-38917.0,68,69.618685
-66228.0,72,78.289236
-73583.0,70,87.327924
-41236.0,70,94.401634
-91335.0,69,103.61859
-89702.0,70,112.13918
-45475.0,70,121.145677
-70202.0,70,130.26552
-36164.0,69,138.247569
-46241.0,68,146.046287
-32233.0,70,155.168165
-47978.0,68,163.980463
-27000.0,69,172.777963
-69152.0,70,181.630707
-30076.0,67,189.831277
-50312.0,68,196.585155
-25730.0,68,204.126505
-43741.0,70,212.877278
-25428.0,71,222.118949
-39368.0,71,231.007308
-47508.0,70,239.623334
-24457.0,67,248.137419
-30279.0,68,256.003388
-21912.0,69,263.888662
-24541.0,68,272.608628
-17319.0,69,280.089619
-18126.0,68,287.483357
-42343.0,71,296.357786
-28681.0,70,304.995769
-23268.0,67,313.42092
-20874.0,68,320.969404
-31689.0,69,330.095227
-38446.0,68,338.905415
-18615.0,69,346.365279
-19708.0,68,353.890543
-22868.0,68,361.357001
-20862.0,68,369.159447
-20900.0,70,377.550524
-25740.0,68,385.88153
-25389.0,72,394.350825
-39669.0,69,403.268372
-34936.0,68,410.850531
-19784.0,70,419.452395
-18769.0,66,427.037969
-30515.0,68,435.638284
-33007.0,68,444.522659
-26319.0,67,453.180149
-26280.0,67,461.677016
-27118.0,66,469.165956
-25608.0,68,475.961853
-25580.0,67,483.458491
-16314.0,66,489.865307
-23309.0,69,498.481414
-26296.0,69,506.403258
-21568.0,68,512.735419
-22121.0,68,520.216116
-24605.0,68,528.759552
-37096.0,66,537.423266
-19398.0,66,545.172773
-21010.0,67,552.62471
-28370.0,65,558.968467
-18367.0,69,566.35844
-22925.0,70,575.240022
-16314.0,69,583.606318
-15612.0,68,589.809882
-20302.0,69,597.253014
-21915.0,70,605.720424
-16899.0,67,613.508603
-25836.0,70,623.019219
-15921.0,68,629.361748
-17041.0,68,636.671239
-21186.0,69,645.511079
-12267.0,70,652.854316
-18176.0,68,661.251479
-23575.0,67,667.70989
-21740.0,69,676.635115
-14381.0,68,684.967064
-20572.0,69,694.291056
-19362.0,69,702.679559
-20557.0,68,711.05168
-12502.0,68,719.722191
-19762.0,70,728.122992
-17441.0,69,736.458488
-18913.0,66,743.804978
-14872.0,68,750.551472
-13446.0,71,757.948188
-16446.0,66,766.247921
-15086.0,69,774.592754
-17168.0,71,782.069263
-15150.0,68,790.854373
-15871.0,67,799.170551
-15668.0,68,807.546626
-18527.0,68,814.887368
-17703.0,66,823.629688
-14445.0,67,832.08644
-12374.0,68,840.483016
-20620.0,67,848.964487
-18021.0,67,857.476609
-18228.0,67,866.319396
-13759.0,69,874.766023
-13396.0,66,882.025583
-16682.0,68,888.431784
-11784.0,68,896.244916
-15130.0,66,904.624299
-15537.0,67,913.082513
-16548.0,66,920.297504
-14127.0,69,929.074672
-14021.0,68,937.608809
-13134.0,68,945.080792
-12806.0,69,953.585325
-14515.0,68,961.071478
-16449.0,68,969.955836
-12406.0,69,978.570512
-14001.0,68,986.997388
-15329.0,69,994.328145
-11991.0,68,1003.219578
-13431.0,69,1011.629649
-14455.0,68,1020.067768
-12077.0,68,1028.489822
-15573.0,68,1036.961124
-13506.0,68,1045.773762
-17064.0,66,1054.115029
-9259.0,69,1062.658364
-12229.0,67,1071.023034
-15877.0,66,1079.818108
-16151.0,67,1086.024812
-16216.0,69,1093.277769
-13947.0,67,1100.488113
-12248.0,66,1108.725317
-16025.0,67,1117.405675
-12895.0,69,1125.738044
-12487.0,69,1134.065222
-13022.0,69,1140.436016
-14075.0,68,1149.059943
-13536.0,68,1156.286355
-14715.0,68,1163.559601
-15115.0,66,1170.94822
-12059.0,68,1179.725903
-12473.0,68,1187.974059
-12639.0,68,1196.251743
-14278.0,68,1204.593461
