#{"t_start": 1701151460.2499425, "env_id": "None"}
r,l,t
-17970.0,72,5.480325
-10813.0,69,10.535678
-10047.0,74,18.459652
-13142.0,72,25.376714
-18652.0,70,32.069148
-18616.0,72,40.022271
-27965.0,72,47.996722
-12441.0,71,54.818756
-13285.0,71,62.245953
-8421.0,69,69.159247
-12049.0,71,77.139593
-14937.0,72,84.167948
-9357.0,70,92.568429
-8632.0,69,98.411367
-13315.0,70,105.427087
-5589.0,68,112.435252
-11577.0,71,121.094353
-10738.0,72,128.061838
-14317.0,70,135.015147
-11035.0,69,141.995708
-9592.0,71,148.991956
-5946.0,68,156.175342
-6880.0,72,165.172005
-6909.0,71,173.203404
-5708.0,68,181.097292
-5819.0,72,189.371914
-6641.0,67,197.247573
-6934.0,69,204.017661
-7064.0,72,211.923642
-5492.0,71,220.316523
-4760.0,71,228.283516
-4798.0,69,235.165859
-4771.0,69,243.199255
-5644.0,71,250.077018
-4106.0,65,256.332372
-4401.0,68,263.081684
-4494.0,71,270.918066
-5359.0,71,277.734281
-6069.0,67,284.984934
-5137.0,71,291.721288
-4490.0,70,298.469863
-5341.0,73,305.299971
-4347.0,70,312.66099
-3759.0,68,319.510265
-3827.0,69,326.352733
-4515.0,68,333.267746
-4191.0,73,341.351854
-4712.0,72,349.879078
-4763.0,69,357.59692
-3285.0,71,364.297199
-3368.0,70,370.96711
-3983.0,69,379.125467
-3971.0,69,385.862671
-3447.0,71,393.650171
-4471.0,71,402.563666
-4211.0,67,409.735584
-2755.0,68,416.566166
-3789.0,68,423.375183
-3339.0,69,431.044702
-3899.0,68,439.180538
-3305.0,71,446.930707
-2828.0,67,454.567116
-3444.0,68,462.265093
-2862.0,68,470.010236
-2786.0,69,478.120261
-3621.0,68,485.785899
-3583.0,68,493.448939
-2667.0,68,500.093429
-2962.0,65,507.047885
-2273.0,67,514.72387
-3294.0,69,522.400536
-2358.0,66,530.026025
-3427.0,70,536.708297
-3140.0,68,544.773578
-3288.0,69,552.430893
-2981.0,67,560.078807
-3622.0,68,567.723181
-3608.0,68,575.769395
-3208.0,68,583.400475
-2813.0,68,591.022163
-2477.0,67,598.657039
-2980.0,69,606.328378
-3264.0,68,614.33606
-2582.0,68,620.955455
-3668.0,69,627.566646
-3334.0,68,634.245005
-2819.0,69,642.38917
-2652.0,68,650.118469
-2600.0,66,657.755929
-2697.0,68,665.499479
-2570.0,69,673.757877
-2323.0,67,680.467757
-3410.0,68,688.232021
-2568.0,71,696.090562
-2937.0,69,703.805031
-2339.0,67,711.049227
-2752.0,68,715.643077
-2622.0,68,722.338536
-2537.0,70,730.126083
-3026.0,68,736.306731
-2663.0,68,743.030687
-2684.0,68,750.763182
-2629.0,68,757.470603
-2610.0,68,763.107539
-2895.0,70,770.252701
-2962.0,69,776.947485
-2678.0,67,782.574859
-2180.0,70,790.295024
-2577.0,68,798.517803
-2438.0,68,806.269109
-2723.0,68,814.040457
-2600.0,68,821.793428
-2515.0,67,829.906585
-2544.0,68,837.6407
-2537.0,68,843.462398
-2841.0,67,850.093058
-2522.0,68,855.626132
-3019.0,68,862.660127
-2544.0,68,870.319631
-2183.0,67,877.95564
-2925.0,69,884.570951
-2672.0,68,891.549333
-2495.0,68,899.101439
-2381.0,68,905.697515
-2950.0,67,911.391232
-2592.0,69,917.944408
-2935.0,70,926.218851
-2892.0,68,931.954335
-2836.0,68,938.713803
-2598.0,69,946.312736
-2902.0,65,953.347817
-2559.0,67,959.916978
-2856.0,67,967.546207
-2324.0,68,974.18756
-2652.0,69,982.321411
-2667.0,66,987.862807
-2962.0,68,993.420077
-2582.0,67,998.947198
-2559.0,68,1005.518547
-2736.0,66,1011.475529
-2457.0,68,1018.10572
-2596.0,67,1024.746653
-2657.0,68,1031.377038
-2506.0,68,1040.545139
-2454.0,69,1048.299723
-3112.0,67,1055.994328
-2633.0,68,1063.642227
-2569.0,68,1070.245788
-2615.0,68,1077.257333
-2307.0,68,1084.88623
-2136.0,68,1091.457055
-2426.0,66,1099.043709
