#{"t_start": 1701151460.4382536, "env_id": "None"}
r,l,t
-15805.0,74,7.39766
-12662.0,71,14.556488
-10475.0,73,21.412028
-15776.0,71,26.267058
-10388.0,69,32.929574
-11174.0,72,40.881862
-21789.0,70,46.758917
-9522.0,71,53.584193
-7661.0,69,59.933057
-15273.0,71,67.920693
-17759.0,71,75.902596
-6648.0,68,82.865474
-10032.0,70,90.239922
-10593.0,70,97.139379
-11754.0,71,103.127995
-7264.0,70,111.195919
-15762.0,71,119.857081
-14001.0,71,126.807801
-7352.0,69,133.747091
-11959.0,72,141.806749
-5986.0,68,147.705097
-7387.0,72,157.033671
-7660.0,68,163.893793
-5893.0,69,171.885704
-7335.0,70,179.835682
-6750.0,71,188.096689
-7499.0,69,194.965898
-6589.0,69,202.771702
-5074.0,70,210.655483
-6778.0,68,219.001565
-5362.0,71,226.951577
-6916.0,73,233.891692
-4947.0,71,241.95315
-3997.0,69,248.80299
-4377.0,71,257.243615
-6903.0,69,263.97761
-8144.0,71,271.824259
-8502.0,73,280.731748
-6501.0,69,286.964349
-4063.0,68,293.667687
-5033.0,71,300.440414
-5804.0,70,308.279372
-4520.0,68,313.516584
-4441.0,69,321.41774
-4990.0,73,329.363527
-3934.0,70,337.389063
-4811.0,71,343.879905
-3208.0,69,351.809844
-4128.0,69,358.493705
-3375.0,71,365.19082
-3891.0,68,371.827857
-4798.0,72,380.056924
-4695.0,67,386.744162
-3789.0,70,394.51229
-3098.0,69,401.322353
-2702.0,71,410.639702
-3240.0,68,417.464036
-3148.0,69,424.29544
-3504.0,70,431.992455
-4130.0,68,440.125311
-2663.0,68,447.81478
-3414.0,68,455.470211
-3057.0,69,463.205484
-2832.0,68,470.930766
-2693.0,68,479.025647
-2693.0,68,486.685652
-3158.0,68,494.343537
-3644.0,67,500.971822
-3619.0,68,509.015068
-3344.0,70,516.744089
-3005.0,66,524.369291
-2856.0,68,532.037559
-4393.0,69,538.691089
-3431.0,69,546.789647
-2860.0,68,554.454831
-3966.0,68,562.086132
-3026.0,69,569.758126
-3513.0,68,577.800017
-3076.0,68,584.418338
-3320.0,66,591.990934
-2869.0,68,599.650403
-2778.0,68,607.660083
-3390.0,68,615.303568
-2794.0,68,621.914036
-3264.0,68,628.520664
-2573.0,69,635.209319
-2903.0,69,643.352327
-2873.0,67,651.069029
-2487.0,67,658.727629
-2674.0,69,666.492826
-3533.0,66,674.680573
-2817.0,68,682.439587
-2530.0,68,690.202962
-2990.0,68,696.979289
-2735.0,68,704.667202
-2594.0,66,710.861391
-2366.0,69,716.5081
-2811.0,66,721.102799
-3348.0,68,727.821502
-2585.0,68,735.02932
-2658.0,69,741.759172
-2557.0,67,748.455554
-2217.0,70,756.233646
-2801.0,69,762.918718
-2737.0,71,771.110599
-2513.0,69,777.807392
-2876.0,69,784.506961
-3144.0,68,791.156022
-3064.0,68,799.377279
-2794.0,68,807.128972
-2922.0,68,814.908705
-2739.0,68,822.654979
-3053.0,68,830.793189
-2685.0,68,838.521085
-2490.0,68,844.351358
-2839.0,68,851.000163
-2230.0,70,857.598549
-2858.0,71,864.708949
-2566.0,69,872.387863
-3207.0,66,879.992951
-2729.0,68,886.569924
-2588.0,67,893.525652
-2403.0,68,901.095896
-3063.0,65,906.593748
-2574.0,69,913.355533
-2297.0,69,920.397323
-2586.0,68,927.120038
-2704.0,69,932.87568
-2972.0,69,939.659658
-2433.0,68,947.22923
-2736.0,70,955.400908
