#{"t_start": 1701099467.2114418, "env_id": "None"}
r,l,t
-8386.0,78,8.236048
-27762.0,80,17.356298
-9841.0,77,24.147108
-6661.0,76,32.452419
-8212.0,77,41.365922
-7299.0,74,48.174792
-9284.0,76,54.997636
-6476.0,72,61.24248
-7494.0,74,69.192616
-6530.0,71,76.002431
-5968.0,73,81.791479
-8094.0,72,89.711475
-7622.0,74,98.092095
-6186.0,72,103.936012
-6107.0,71,111.885427
-6234.0,71,118.769953
-4697.0,70,127.079142
-5083.0,71,135.015081
-6437.0,73,141.920205
-4845.0,71,148.798586
-5913.0,70,156.091435
-3825.0,69,164.979859
-4204.0,68,171.731563
-6900.0,69,179.533045
-4636.0,67,186.69517
-5174.0,67,193.401336
-4340.0,69,201.182559
-5164.0,69,208.977492
-4046.0,69,216.804789
-3896.0,66,224.953822
-4640.0,66,231.746774
-4500.0,69,239.618726
-3836.0,65,246.522698
-3761.0,66,253.773444
-3292.0,68,262.754686
-3661.0,66,268.543364
-3890.0,68,275.298918
-3631.0,66,283.031662
-3882.0,66,290.127456
-3767.0,64,296.757594
-3889.0,66,304.49224
-3898.0,66,311.277208
-4435.0,67,319.40591
-3610.0,63,327.100625
-3320.0,68,334.901175
-4116.0,66,342.590991
-3923.0,67,349.333427
-3644.0,65,356.418602
-3619.0,64,363.068887
-3453.0,65,370.775688
-4523.0,66,377.459775
-3855.0,67,384.587884
-3344.0,65,391.290584
-4435.0,65,398.040684
-3866.0,65,405.770615
-3615.0,66,413.528668
-4335.0,65,421.948631
-2767.0,66,429.854848
-3702.0,65,436.722386
-3513.0,66,444.566809
-3356.0,66,452.438858
-3054.0,63,460.625145
-3600.0,65,468.349453
-3922.0,65,476.21298
-3718.0,67,485.078119
-3081.0,64,493.296246
-2725.0,65,501.027122
-3572.0,65,507.681757
-2999.0,64,514.365823
-3532.0,64,522.043338
-3482.0,65,530.336465
-2889.0,65,537.163505
-3275.0,66,544.890265
-3420.0,65,552.623014
-3617.0,68,560.816025
-4005.0,66,567.697842
-3502.0,67,575.500865
-3637.0,65,583.271039
-3260.0,65,591.060096
-3635.0,67,599.373246
-2945.0,65,607.209969
-3752.0,65,615.010761
-3209.0,65,622.833355
-3084.0,64,630.668498
-2716.0,65,639.00035
-3198.0,65,645.823788
-2790.0,65,653.661153
-3254.0,67,661.549222
-3361.0,64,668.728772
-3904.0,65,676.448018
-3924.0,66,684.195323
-2641.0,65,691.872475
-3176.0,67,699.653983
-2605.0,65,707.783732
-3058.0,65,715.548335
-3602.0,67,723.298062
-3544.0,65,731.149406
-3486.0,67,739.593896
-2719.0,65,747.373195
-3417.0,67,755.128148
-3161.0,65,762.925351
-3890.0,68,770.884278
-3032.0,65,779.177325
-2958.0,65,786.97256
-3005.0,65,794.856177
-2667.0,65,802.665874
-3227.0,67,811.040861
-2991.0,65,818.869375
-2756.0,65,826.647459
-3140.0,67,834.470271
-3016.0,65,842.321625
-2949.0,65,850.615921
-2995.0,66,858.389359
-3120.0,65,866.151347
-3127.0,65,873.976217
-2925.0,67,881.785262
-2847.0,65,889.972931
-3027.0,66,897.824386
-3134.0,66,905.630574
-2872.0,65,913.450573
-3228.0,72,921.810874
-3274.0,72,929.568007
-3418.0,74,937.45941
-4898.0,74,945.336128
-2881.0,72,953.769187
-2788.0,71,961.655167
-2700.0,71,969.539244
-2675.0,72,977.470697
-2577.0,71,985.790663
-2897.0,72,993.717198
-5407.0,74,1001.787397
-3352.0,74,1009.878097
-4498.0,71,1018.179774
-3597.0,89,1027.632464
-3327.0,71,1035.526903
-3906.0,79,1044.265952
-3679.0,81,1053.200396
-3135.0,72,1061.099515
-3620.0,71,1069.074064
-3759.0,69,1077.018768
-3699.0,71,1085.392191
-2867.0,70,1094.406651
-3315.0,69,1102.276428
-2688.0,68,1109.133965
-3299.0,68,1115.98698
-3093.0,71,1125.35591
